hanzi,pinyin,meaning
要枢,[yao4 shu1],important traffic hub
要样儿,[yao4 yang4 r5],appearance
要死,[yao4 si3],extremely
要死不活,[yao4 si3 bu4 huo2],half dead
要死要活,[yao4 si3 yao4 huo2],terribly
要求,[yao1 qiu2],to request
要津,[yao4 jin1],key post
要犯,[yao4 fan4],major criminal
要略,[yao4 lu:e4],roughly
要目,[yao4 mu4],important substance (of a document)
要看,[yao4 kan4],it depends on...
要端,[yao4 duan1],the main points
要约,[yao1 yue4],to restrict
要素,[yao4 su4],essential factor
要紧,[yao4 jin3],important
要义,[yao4 yi4],the essentials
要闻,[yao4 wen2],important news story
要职,[yao4 zhi2],key job
要脸,[yao4 lian3],to save sb's face
要冲,[yao4 chong1],road hub
要角,[yao4 jiao3],significant role
要言不烦,[yao4 yan2 bu4 fan2],to explain in simple terms
要诀,[yao4 jue2],the key trick
要说,[yao4 shuo1],as for
要谎,[yao4 huang3],to ask an enormous price (as first negotiating step)
要买人心,[yao1 mai3 ren2 xin1],variant of 邀買人心|邀买人心[yao1 mai3 ren2 xin1]
要账,[yao4 zhang4],to demand repayment
要路,[yao4 lu4],important road
要道,[yao4 dao4],major road
要钱,[yao4 qian2],to charge
要隘,[yao4 ai4],strategic pass
要面子,[yao4 mian4 zi5],to save one's face
要领,[yao4 ling3],main aspects
要风得风，要雨得雨,[yao4 feng1 de2 feng1 , yao4 yu3 de2 yu3],to get whatever one wants
要饭,[yao4 fan4],to beg (for food or money)
要么,[yao4 me5],or
要点,[yao4 dian3],main point
覂,[feng3],to throw a rider
覃,[Qin2],surname Qin
覃,[Tan2],surname Tan
覃,[tan2],deep
覃塘,[Tan2 tang2],Tantang district of Guigang city 貴港市|贵港市[Gui4 gang3 shi4], Guangxi
覃塘区,[Tan2 tang2 qu1],Tantang district of Guigang city 貴港市|贵港市[Gui4 gang3 shi4], Guangxi
覃第,[tan2 di4],extensive residence
覅,[fiao4],(fanqie contraction of 勿 and 要)
复,[fu4],variant of 復|复[fu4]
覆,[fu4],to cover
覆亡,[fu4 wang2],fall (of an empire)
覆巢之下无完卵,[fu4 chao2 zhi1 xia4 wu2 wan2 luan3],lit. when the nest is upset no egg is left intact (idiom)
覆巢无完卵,[fu4 chao2 wu2 wan2 luan3],lit. when the nest overturns no egg remains intact
覆核,[fu4 he2],to review
覆水难收,[fu4 shui3 nan2 shou1],spilt water is difficult to retrieve (idiom)
覆没,[fu4 mo4],annihilated
覆灭,[fu4 mie4],destruction
覆叠,[fu4 die2],to overlap
覆盆子,[fu4 pen2 zi3],raspberry
覆膜,[fu4 mo2],membrane covering sth
覆盖,[fu4 gai4],to cover
覆盖率,[fu4 gai4 lu:4],coverage
覆盖面,[fu4 gai4 mian4],coverage
覆辙,[fu4 zhe2],disastrous policy
复迭,[fu4 die2],variant of 覆疊|覆叠[fu4 die2
复述,[fu4 shu4],variant of 複述|复述[fu4 shu4]
霸,[ba4],variant of 霸[ba4]
核,[he2],variant of 核[he2]
覉,[ji1],variant of 羈|羁[ji1]
羁,[ji1],variant of 羈|羁[ji1]
见,[jian4],to see
见,[xian4],to appear
见不得,[jian4 bu5 de2],not fit to be seen by
见不得人,[jian4 bu5 de2 ren2],shameful
见之实施,[jian4 zhi1 shi2 shi1],to put into effect (idiom)
见亮,[jian4 liang4],please forgive me
见仁见智,[jian4 ren2 jian4 zhi4],opinions differ (idiom)
见光死,[jian4 guang1 si3],(lit.) to wither in the light of day
见利忘义,[jian4 li4 wang4 yi4],to see profit and forget morality (idiom); to act from mercenary considerations
见利思义,[jian4 li4 si1 yi4],to see profit and remember morality (idiom); to act ethically
见到,[jian4 dao4],to see
见地,[jian4 di4],opinion
见报,[jian4 bao4],to appear in the news
见外,[jian4 wai4],to regard somebody as an outsider
见多识广,[jian4 duo1 shi2 guang3],experienced and knowledgeable (idiom)
见天,[jian4 tian1],(coll.) every day
见好就收,[jian4 hao3 jiu4 shou1],to quit while one is ahead (idiom)
见得,[jian4 de2],to seem
见微知著,[jian4 wei1 zhi1 zhu4],one tiny clue reveals the general trend (idiom); small beginnings show how things will develop
见怪,[jian4 guai4],to mind
见怪不怪,[jian4 guai4 bu4 guai4],to keep one's calm in the face of the unexpected
见爱,[jian4 ai4],loved
见招拆招,[jian1 zhao1 chai1 zhao1],to counter every move
见效,[jian4 xiao4],to have the desired effect
见教,[jian4 jiao4],I have been enlightened by your teaching (humble)
见方,[jian4 fang1],a (10 meter) square
见景生情,[jian4 jing3 sheng1 qing2],to be touched by a scene
见机行事,[jian4 ji1 xing2 shi4],see the opportunity and act (idiom); to act according to circumstances
见状,[jian4 zhuang4],upon seeing this, ...
见猎心喜,[jian4 lie4 xin1 xi3],lit. seeing others go hunting, one is excited by memories of the thrill of the hunt (idiom)
见异思迁,[jian4 yi4 si1 qian1],to change at once on seeing sth different (idiom); loving fads and novelty
见票即付,[jian4 piao4 ji2 fu4],payable at sight
见笑,[jian4 xiao4],to mock
见红,[jian4 hong2],(coll.) to bleed (esp. vaginal bleeding)
见缝就钻,[jian4 feng4 jiu4 zuan1],lit. to squeeze into every crack (idiom)
见缝插针,[jian4 feng4 cha1 zhen1],lit. to see a gap and stick in a needle (idiom); fig. to make use of every second and every inch
见义勇为,[jian4 yi4 yong3 wei2],to see what is right and act courageously (idiom, from Analects); to stand up bravely for the truth
见习,[jian4 xi2],to learn on the job
见习员,[jian4 xi2 yuan2],trainee
见习生,[jian4 xi2 sheng1],apprentice
见习医师,[jian4 xi2 yi1 shi1],medical intern
见习医生,[jian4 xi2 yi1 sheng1],medical intern
见闻,[jian4 wen2],what one has seen and heard
见闻有限,[jian4 wen2 you3 xian4],to possess limited experience and knowledge (idiom)
见背,[jian4 bei1],to pass away (lit., of the older generation)
见色忘友,[jian4 se4 wang4 you3],to neglect one's friends when smitten with a new love
见色忘义,[jian4 se4 wang4 yi4],to forget loyalty when in love
见血封喉树,[jian4 xue4 feng1 hou2 shu4],Antiaris toxicaria (botany)
见解,[jian4 jie3],opinion
见访,[jian4 fang3],your visit (honorific)
见说,[jian4 shuo1],to hear what was said
见谅,[jian4 liang4],please forgive me
见诸行动,[jian4 zhu1 xing2 dong4],to translate sth into action
见证,[jian4 zheng4],to be witness to
见证人,[jian4 zheng4 ren2],eyewitness (to an incident)
见识,[jian4 shi5],knowledge and experience
见识浅,[jian4 shi5 qian3],short-sighted
见财起意,[jian4 cai2 qi3 yi4],seeing riches provokes evil designs
见贤思齐,[jian4 xian2 si1 qi2],see a worthy, think to imitate (idiom, from Analects); emulate the virtuous
见钱眼开,[jian4 qian2 yan3 kai1],to open one's eyes wide at the sight of profit (idiom); thinking of nothing but personal gain
见长,[jian4 chang2],to be good at sth
见阎王,[jian4 Yan2 wang2],to meet one's Maker
见难而上,[jian4 nan2 er2 shang4],to take the bull by the horns (idiom)
见面,[jian4 mian4],to meet
见面礼,[jian4 mian4 li3],gift given to sb when meeting them for the first time
见风使帆,[jian4 feng1 shi3 fan1],lit. see the wind and set your sails (idiom); fig. to act pragmatically
见风使舵,[jian4 feng1 shi3 duo4],lit. see the wind and set the helm (idiom); fig. to act pragmatically
见风是雨,[jian4 feng1 shi4 yu3],lit. see the wind and assume it will rain (idiom); fig. gullible
见风转舵,[jian4 feng1 zhuan3 duo4],lit. see the wind and set the helm (idiom); fig. to act pragmatically
见马克思,[jian4 Ma3 ke4 si1],to die
见驾,[jian4 jia4],to have an audience (with the emperor)
见鬼,[jian4 gui3],curse it!
覌,[guan1],variant of 觀|观[guan1]
规,[gui1],compass
规例,[gui1 li4],regulations
规制,[gui1 zhi4],to regulate
规则,[gui1 ze2],rule
规则化,[gui1 ze2 hua4],regularity
规则性,[gui1 ze2 xing4],regularity
规则性效应,[gui1 ze2 xing4 xiao4 ying4],regularity effect
规划,[gui1 hua4],to plan (how to do sth)
规划人员,[gui1 hua4 ren2 yuan2],planner
规划局,[gui1 hua4 ju2],planning department
规勉,[gui1 mian3],to advise and encourage
规劝,[gui1 quan4],to advise
规定,[gui1 ding4],provision
规定价格,[gui1 ding4 jia4 ge2],to fix the price
规律,[gui1 lu:4],rule (e.g. of science)
规律性,[gui1 lu:4 xing4],regular
规复,[gui1 fu4],to restore (deposed monarch, rule, system of laws, ecological system etc)
规戒,[gui1 jie4],variant of 規誡|规诫[gui1 jie4]
规整,[gui1 zheng3],according to a pattern
规格,[gui1 ge2],standard
规条,[gui1 tiao2],regulations
规模,[gui1 mo2],scale
规正,[gui1 zheng4],to admonish
规率,[gui1 lu:4],law
规矩,[gui1 ju5],lit. compass and set square
规矩准绳,[gui1 ju5 zhun3 sheng2],compasses, set square, spirit level and plumbline (idiom); fig. established standard
规矩绳墨,[gui1 ju5 sheng2 mo4],compasses, set square and straight line marker (idiom); fig. established standard
规程,[gui1 cheng2],rules
规章,[gui1 zhang1],rule
规管,[gui1 guan3],to regulate
规范,[gui1 fan4],norm
规范化,[gui1 fan4 hua4],to standardize
规范性,[gui1 fan4 xing4],normal
规范理论,[gui1 fan4 li3 lun4],Standard Model (of particle physics)
规约,[gui1 yue1],terms (of an agreement)
规行矩步,[gui1 xing2 ju3 bu4],to follow the compass and go with the set square (idiom); to follow the rules inflexibly
规诫,[gui1 jie4],to warn (against some course)
规诲,[gui1 hui4],to admonish
规谏,[gui1 jian4],to remonstrate
规避,[gui1 bi4],to evade
覐,[jiao4],old variant of 覺|觉[jiao4]
覐,[jue2],old variant of 覺|觉[jue2]
觅,[mi4],to seek
觅取,[mi4 qu3],to seek
觅句,[mi4 ju4],to search for the right word (of poet)
觅食,[mi4 shi2],to forage
觅食行为,[mi4 shi2 xing2 wei2],foraging
觅,[mi4],old variant of 覓|觅[mi4]
视,[shi4],to look at
视乎,[shi4 hu1],to be determined by
视亮度,[shi4 liang4 du4],apparent brightness (astronomy)
视作,[shi4 zuo4],to regard as
视力,[shi4 li4],vision
视力测定法,[shi4 li4 ce4 ding4 fa3],optometry
视力表,[shi4 li4 biao3],eye chart (used by optician)
视区,[shi4 qu1],field of view
视同,[shi4 tong2],to regard the same as
视同儿戏,[shi4 tong2 er2 xi4],to regard sth as a plaything (idiom); to consider unimportant
视同己出,[shi4 tong2 ji3 chu1],to regard sb as one's own child
视同手足,[shi4 tong2 shou3 zu2],to regard somebody as a brother (idiom)
视图,[shi4 tu2],view
视如土芥,[shi4 ru2 tu3 jie4],to regard as useless
视如寇仇,[shi4 ru2 kou4 chou2],to regard as an enemy
视如敝屣,[shi4 ru2 bi4 xi3],to regard like a pair of worn-out shoes
视如粪土,[shi4 ru2 fen4 tu3],to look upon as dirt
视察,[shi4 cha2],to inspect
视屏,[shi4 ping2],screen (of a TV, computer etc)
视差,[shi4 cha1],parallax
视微知着,[shi4 wei1 zhi1 zhuo2],one tiny clue reveals the general trend (idiom); small beginnings show how things will develop
视损伤,[shi4 sun3 shang1],visual impairment
视死如归,[shi4 si3 ru2 gui1],to view death as a return home
视为,[shi4 wei2],to view as
视为畏途,[shi4 wei2 wei4 tu2],to view as dangerous (idiom); afraid to do sth
视为知己,[shi4 wei2 zhi1 ji3],to consider sb as close friend (idiom); to take into one's confidence
视界,[shi4 jie4],field of vision
视盘,[shi4 pan2],optic disc (anatomy)
视盲,[shi4 mang2],blindness
视神经,[shi4 shen2 jing1],optic nerve
视神经乳头,[shi4 shen2 jing1 ru3 tou2],optic disk (terminal of the optic nerve on the retina)
视神经盘,[shi4 shen2 jing1 pan2],optic disk (terminal of the optic nerve on the retina)
视空间系统,[shi4 kong1 jian1 xi4 tong3],visuo-spatial sketchpad
视窗,[Shi4 chuang1],Windows (the Microsoft operating system)
视窗,[shi4 chuang1],a window (on a computer screen)
视网膜,[shi4 wang3 mo2],retina
视线,[shi4 xian4],line of sight
视而不见,[shi4 er2 bu4 jian4],to turn a blind eye to
视听材料,[shi4 ting1 cai2 liao4],evidence of material seen and heard
视若无睹,[shi4 ruo4 wu2 du3],to turn a blind eye to
视若路人,[shi4 ruo4 lu4 ren2],to view as strangers
视觉,[shi4 jue2],sight
视角,[shi4 jiao3],viewpoint
视讯,[shi4 xun4],video (Tw)
视距,[shi4 ju4],visible range
视野,[shi4 ye3],field of view
视错觉,[shi4 cuo4 jue2],optical illusion
视障,[shi4 zhang4],visual impairment
视频,[shi4 pin2],video
视频会议,[shi4 pin2 hui4 yi4],videoconferencing
视频节目,[shi4 pin2 jie2 mu4],video program
视频点播,[shi4 pin2 dian3 bo1],video on demand
覗,[si1],peek
觇,[chan1],to observe
觇标,[chan1 biao1],surveyor's beacon
覚,[jue2],Japanese variant of 覺|觉
覜,[tiao4],have an audience
觋,[xi2],wizard
覤,[xi4],variant of 虩[xi4]
觍,[tian3],shameful
觎,[yu2],to desire passionately
覧,[lan3],Japanese variant of 覽|览
睹,[du3],old variant of 睹[du3]
亲,[qin1],parent
亲,[qing4],parents-in-law of one's offspring
亲事,[qin1 shi4],marriage
亲人,[qin1 ren2],one's close relatives
亲代,[qin1 dai4],parent's generation
亲信,[qin1 xin4],trusted aide
亲们,[qin1 men5],darlings
亲兄弟，明算帐,[qin1 xiong1 di4 , ming2 suan4 zhang4],even with your own brother, keep clear accounts (idiom)
亲切,[qin1 qie4],amiable
亲力亲为,[qin1 li4 qin1 wei2],to do sth oneself
亲北京,[qin1 Bei3 jing1],pro-Beijing (stance, party etc)
亲友,[qin1 you3],friends and relatives
亲口,[qin1 kou3],one's own mouth
亲吻,[qin1 wen3],to kiss
亲和,[qin1 he2],to connect intimately (with)
亲和力,[qin1 he2 li4],(personal) warmth
亲和性,[qin1 he2 xing4],compatibility
亲善,[qin1 shan4],goodwill
亲善大使,[qin1 shan4 da4 shi3],goodwill ambassador
亲嘴,[qin1 zui3],to kiss (on the mouth)
亲如一家,[qin1 ru2 yi1 jia1],family-like close relationship (idiom)
亲如手足,[qin1 ru2 shou3 zu2],as close as brothers (idiom); deep friendship
亲妈,[qin1 ma1],one's own mother
亲子,[qin1 zi3],parent and child
亲子鉴定,[qin1 zi3 jian4 ding4],paternity or maternity test
亲家,[qing4 jia5],parents of one's daughter-in-law or son-in-law
亲密,[qin1 mi4],intimate
亲密无间,[qin1 mi4 wu2 jian1],close relation, no gap (idiom); intimate and nothing can come between
亲属,[qin1 shu3],kin
亲征,[qin1 zheng1],to take to the field oneself (of emperor)
亲情,[qin1 qing2],affection
亲爱,[qin1 ai4],dear
亲爱精诚,[qin1 ai4 jing1 cheng2],camaraderie
亲戚,[qin1 qi5],a relative (i.e. family relation)
亲手,[qin1 shou3],personally
亲族,[qin1 zu2],relatives
亲昵,[qin1 ni4],intimate
亲朋好友,[qin1 peng2 hao3 you3],friends and family
亲历,[qin1 li4],personal experience
亲民,[qin1 min2],in touch with the people
亲民党,[Qin1 min2 dang3],People First Party, Taiwan
亲水性,[qin1 shui3 xing4],hydrophilicity
亲水长廊,[qin1 shui3 chang2 lang2],waterside promenade
亲炙,[qin1 zhi4],to be enlightened by direct contact with sb
亲热,[qin1 re4],affectionate
亲爸,[qin1 ba4],one's own father
亲王,[qin1 wang2],prince
亲生,[qin1 sheng1],one's own (child) (i.e. one's child by birth)
亲生子女,[qin1 sheng1 zi3 nu:3],natural child
亲生骨肉,[qin1 sheng1 gu3 rou4],one's own flesh and blood
亲疏,[qin1 shu1],close and distant (relatives)
亲疏贵贱,[qin1 shu1 gui4 jian4],close and distant, rich and poor (idiom); everyone
亲眷,[qin1 juan4],relatives
亲眼,[qin1 yan3],with one's own eyes
亲眼目睹,[qin1 yan3 mu4 du3],to see for oneself
亲睦,[qin1 mu4],friendly
亲睦邻邦,[qin1 mu4 lin2 bang1],friendly neighboring countries
亲笔,[qin1 bi3],in one's own handwriting
亲缘,[qin1 yuan2],blood relationship
亲缘关系,[qin1 yuan2 guan1 xi4],phylogenetic relationship
亲美,[qin1 Mei3],pro-U.S.
亲耳,[qin1 er3],with one's own ears
亲临,[qin1 lin2],to go in person
亲临其境,[qin1 lin2 qi2 jing4],to travel to a place personally (idiom)
亲自,[qin1 zi4],personally
亲自动手,[qin1 zi4 dong4 shou3],to do the job oneself
亲旧,[qin1 jiu4],relatives and old friends
亲卫队,[Qin1 wei4 dui4],SS or Schutzstaffel, paramilitary organization in Nazi Germany
亲亲,[qin1 qin1],dear one
亲身,[qin1 shen1],personal
亲近,[qin1 jin4],intimate
觊,[ji4],to covet
觊觎,[ji4 yu2],to covet
觏,[gou4],complete
覰,[qu4],variant of 覷|觑[qu4]
觐,[jin4],(history) to have an audience with the Emperor
觐见,[jin4 jian4],to have an audience (with the Emperor)
観,[guan1],Japanese variant of 觀|观[guan1]
觑,[qu4],to spy
觑合,[qu4 he2],to squint
觑忽,[qu4 hu5],variant of 覷糊|觑糊[qu4 hu5]
觑机会,[qu4 ji1 hui4],to watch for an opportunity
觑步,[qu4 bu4],to spy on
觑窥,[qu4 kui1],to peep at
觑糊,[qu4 hu5],to squint
觑着眼,[qu4 zhe5 yan3],to narrow one's eyes and gaze at something with great attention
觑视,[qu4 shi4],to look
觑觑眼,[qu4 qu4 yan3],myopia
觉,[jiao4],a nap
觉,[jue2],to feel
觉察,[jue2 cha2],to sense
觉得,[jue2 de5],to think
觉悟,[jue2 wu4],to come to understand
觉醒,[jue2 xing3],to awaken
览,[lan3],to look at
览胜,[lan3 sheng4],to visit scenic spots
览古,[lan3 gu3],to visit historic sites
觌,[di2],face to face
观,[Guan4],surname Guan
观,[guan1],to look at
观,[guan4],Taoist monastery
观世音,[Guan1 shi4 yin1],Guanyin, the Bodhisattva of Compassion or Goddess of Mercy (Sanskrit Avalokiteśvara)
观世音菩萨,[Guan1 shi4 yin1 Pu2 sa4],Guanyin, the Bodhisattva of Compassion or Goddess of Mercy (Sanskrit Avalokiteśvara)
观光,[guan1 guang1],to tour
观光区,[guan1 guang1 qu1],tourist region
观光客,[guan1 guang1 ke4],tourist
观塘,[Guan4 tang2],Kwun Tong district of Kowloon, Hong Kong
观客,[guan1 ke4],audience
观察,[guan1 cha2],to observe
观察人士,[guan1 cha2 ren2 shi4],observer
观察力,[guan1 cha2 li4],power of observation
观察员,[guan1 cha2 yuan2],observer
观察哨,[guan1 cha2 shao4],sentry post
观察家,[guan1 cha2 jia1],observer
观察者,[guan1 cha2 zhe3],observer
观后感,[guan1 hou4 gan3],impression or feeling after visiting or watching (movies, museums etc)
观念,[guan1 nian4],notion
观想,[guan1 xiang3],to visualize (Buddhist practice)
观感,[guan1 gan3],one's impressions
观摩,[guan1 mo2],to observe and emulate
观星台,[guan4 xing1 tai2],astronomical observatory (old)
观景台,[guan1 jing3 tai2],lookout
观望,[guan1 wang4],to wait and see
观止,[guan1 zhi3],incomparably good
观测,[guan1 ce4],to observe
观测员,[guan1 ce4 yuan2],observer
观测者,[guan1 ce4 zhe3],observer
观测卫星,[guan1 ce4 wei4 xing1],observation satellite
观澜湖,[Guan1 lan2 Hu2],Mission Hills Group (Chinese hospitality, sports and leisure company)
观火,[guan1 huo3],penetrating (vision)
观看,[guan1 kan4],to watch
观众,[guan1 zhong4],spectators
观瞻,[guan1 zhan1],appearance
观礼,[guan1 li3],to attend a ritual
观落阴,[guan1 luo4 yin1],a ritual whereby the living soul is brought to the nether world for a spiritual journey
观览,[guan1 lan3],to view
观护所,[guan1 hu4 suo3],probation office
观象台,[guan1 xiang4 tai2],observatory
观赏,[guan1 shang3],to look at sth with pleasure
观衅伺隙,[guan1 xin4 si4 xi4],lit. to look for holes, and observe gaps (idiom); to search out one's opponent's weak points
观音,[Guan1 yin1],Guanyin, the Bodhisattva of Compassion or Goddess of Mercy (Sanskrit Avalokiteśvara)
观音菩萨,[Guan1 yin1 Pu2 sa4],Guanyin, the Bodhisattva of Compassion or Goddess of Mercy (Sanskrit Avalokiteśvara)
观音乡,[Guan1 yin1 xiang1],Guanyin or Kuanyin township in Taoyuan county 桃園縣|桃园县[Tao2 yuan2 xian4], north Taiwan
观风,[guan1 feng1],on lookout duty
观鸟,[guan1 niao3],birdwatching
观点,[guan1 dian3],point of view
角,[Jue2],surname Jue
角,[jiao3],angle
角,[jue2],role (theater)
角伎,[jiao3 ji4],high-class prostitute
角分符号,[jiao3 fen1 fu2 hao4],prime symbol (′) (math., linguistics etc)
角力,[jue2 li4],wrestling
角动量,[jiao3 dong4 liang4],angular momentum
角口,[jiao3 kou3],to quarrel
角嘴海雀,[jiao3 zui3 hai3 que4],(bird species of China) rhinoceros auklet (Cerorhinca monocerata)
角回,[jiao3 hui2],angular gyrus (convolution of the brain)
角妓,[jiao3 ji4],high-class prostitute
角子,[jiao3 zi5],one Jiao coin (Mao, one-tenth of yuan)
角尺,[jiao3 chi3],set square (tool to measure right angles)
角度,[jiao3 du4],angle
角弓,[jiao3 gong1],bow decorated with animal horns
角弓反张,[jiao3 gong1 fan3 zhang1],opitoshtonous (med.), muscular spasm of the body associated with tetanus and meningitis
角抵,[jue2 di3],wrestling
角曲尺,[jiao3 qu1 chi3],miter square (tool to measure angles)
角朊,[jiao3 ruan3],keratin
角柱体,[jiao3 zhu4 ti3],prism (math.)
角椅,[jiao3 yi3],chair designed to fit in corner of a room
角楼,[jiao3 lou2],corner (between walls)
角标,[jiao3 biao1],superscript
角球,[jiao3 qiu2],corner kick (in soccer)
角百灵,[jiao3 bai3 ling2],(bird species of China) horned lark (Eremophila alpestris)
角砧,[jiao3 zhen1],beck iron (corner of anvil)
角磨机,[jiao3 mo2 ji1],angle grinder
角票,[jiao3 piao4],banknote in Jiao units (Mao, one-tenth of yuan)
角秒符号,[jiao3 miao3 fu2 hao4],double prime symbol (″) (math., linguistics etc)
角膜,[jiao3 mo2],cornea
角膜接触镜,[jiao3 mo2 jie1 chu4 jing4],contact lens
角膜炎,[jiao3 mo2 yan2],keratitis (inflammation of the cornea)
角色,[jue2 se4],role
角色扮演游戏,[jue2 se4 ban4 yan3 you2 xi4],role-playing game (RPG)
角落,[jiao3 luo4],nook
角蛋白,[jiao3 dan4 bai2],keratin (protein forming nails and feathers etc)
角规,[jiao3 gui1],angle gauge
角质,[jiao3 zhi4],cutin
角质层,[jiao3 zhi4 ceng2],stratum corneum (outermost layer of the skin)
